City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Moerai,PF,78.06,moderate rain,-22.4333,-151.3333,
274,Saint-Pierre,RE,82.08,scattered clouds,-21.3393,55.4781,
287,Hagere Selam,ET,71.06,overcast clouds,6.4833,38.5167,
292,Moron,AR,73.99,few clouds,-34.6534,-58.6198,
293,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,
295,Bundaberg,AU,74.21,overcast clouds,-24.85,152.35,
296,Carnarvon,AU,84.27,few clouds,-24.8667,113.6333,
297,Champerico,GT,75.04,clear sky,14.3,-91.9167,
300,Picota,PE,72.09,overcast clouds,-6.9197,-76.3304,
303,Perth,AU,87.1,clear sky,-31.9333,115.8333,
307,Remedios,CU,72.52,broken clouds,22.4947,-79.5458,
308,Kloulklubed,PW,81.1,clear sky,7.0419,134.2556,
314,Anse-Bertrand,GP,73.22,clear sky,16.4721,-61.5078,
315,Bagado,CO,72.75,broken clouds,5.4116,-76.4152,
316,Amalapuram,IN,84.58,broken clouds,16.5833,82.0167,
321,Bonfim,BR,79.14,broken clouds,3.0833,-59.95,
323,Fare,PF,80.67,clear sky,-16.7,-151.0167,
324,Labuhan,ID,79.14,moderate rain,-6.8844,112.2051,
327,Biltine,TD,83.7,few clouds,14.5333,20.9167,
328,Totness,SR,77.05,overcast clouds,5.8833,-56.3167,
330,Vao,NC,79.47,overcast clouds,-22.6667,167.4833,
332,Kavieng,PG,83.26,broken clouds,-2.5744,150.7967,
336,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,
337,Gaoua,BF,89.67,clear sky,10.2992,-3.2508,
339,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,
341,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,
342,Howard Springs,AU,78.71,overcast clouds,-12.497,131.047,
344,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,
352,Kruisfontein,ZA,70.88,overcast clouds,-34.0033,24.7314,
353,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,
354,Salina Cruz,MX,72.77,clear sky,16.1667,-95.2,
359,Phan Thiet,VN,78.75,clear sky,10.9333,108.1,
360,Aguas Belas,BR,82.94,broken clouds,-9.1114,-37.1231,
362,Sibolga,ID,77.56,overcast clouds,1.7427,98.7792,
367,Buala,SB,79.97,overcast clouds,-8.145,159.5921,
369,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,
371,Port Alfred,ZA,71.53,light rain,-33.5906,26.891,
374,Ugoofaaru,MV,81.86,scattered clouds,5.6667,73.0,
378,Sulat,PH,74.98,overcast clouds,11.8103,125.4544,
381,Mercedes,AR,76.86,scattered clouds,-34.6515,-59.4307,
383,Harper,LR,84.31,light rain,4.375,-7.7169,
384,Carutapera,BR,79.25,overcast clouds,-1.195,-46.02,
387,Skeldon,GY,76.14,overcast clouds,5.8833,-57.1333,
390,Zaraza,VE,76.26,few clouds,9.3503,-65.3245,
391,Tingi,TZ,70.38,light rain,-11.3,35.0333,
396,Pundaguitan,PH,76.69,moderate rain,6.3711,126.1689,
400,Adre,TD,81.59,few clouds,13.4667,22.2,
401,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,
402,Buritizeiro,BR,77.72,overcast clouds,-17.3511,-44.9622,
405,Mega,ET,81.7,broken clouds,4.05,38.3,
407,Japura,ID,75.06,broken clouds,-0.3167,102.35,
412,Inhambane,MZ,86.81,scattered clouds,-23.865,35.3833,
413,San Pedro,PH,81.63,broken clouds,14.35,121.0167,
414,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,
418,Mahibadhoo,MV,81.99,broken clouds,3.7833,72.9667,
419,Anloga,GH,89.82,clear sky,5.7947,0.8973,
422,Salinopolis,BR,79.86,overcast clouds,-0.6136,-47.3561,
425,Chuy,UY,74.61,overcast clouds,-33.6971,-53.4616,
428,Sijunjung,ID,72.99,light rain,-0.6876,100.9537,
431,Kirakira,SB,80.08,overcast clouds,-10.4544,161.9205,
434,Honiara,SB,77.88,overcast clouds,-9.4333,159.95,
