City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kabinda,CD,2022-02-02 11:57:54,-6.1333,24.4833,69.39,87,100,2.39
68,Lavrentiya,RU,2022-02-02 11:57:54,65.5833,-171.0,-2.06,82,2,16.64
69,Waipawa,NZ,2022-02-02 11:57:54,-41.4122,175.5153,68.63,67,99,12.97
70,Hobart,AU,2022-02-02 11:57:54,-42.8794,147.3294,60.66,59,75,1.99
71,Singapore,SG,2022-02-02 11:56:20,1.2897,103.8501,86.2,68,75,11.5
72,Gillette,US,2022-02-02 11:57:55,44.2911,-105.5022,3.81,81,100,11.99
73,Port Elizabeth,ZA,2022-02-02 11:57:55,-33.918,25.5701,86.29,58,0,4.61
74,Pimentel,PE,2022-02-02 11:57:55,-6.8367,-79.9342,64.69,88,40,9.22
75,Ust-Ilimsk,RU,2022-02-02 11:57:56,58.0006,102.6619,-6.29,100,72,3.51
76,Pangnirtung,CA,2022-02-02 11:57:56,66.1451,-65.7125,-7.6,59,100,11.5
77,Victoria,HK,2022-02-02 11:54:29,22.2855,114.1577,61.95,91,100,1.01
78,Upernavik,GL,2022-02-02 11:57:56,72.7868,-56.1549,-10.79,64,100,6.55
79,Puerto Ayora,EC,2022-02-02 11:57:57,-0.7393,-90.3518,73.54,96,92,5.01
80,Linamon,PH,2022-02-02 11:57:57,8.186,124.1628,79.02,83,100,0.38
81,Cape Town,ZA,2022-02-02 11:57:57,-33.9258,18.4232,75.11,82,100,3.0
82,Palauig,PH,2022-02-02 11:57:57,15.435,119.9045,79.47,70,64,2.08
83,Ketchikan,US,2022-02-02 11:57:58,55.3422,-131.6461,33.78,93,100,12.66
84,Fairbanks,US,2022-02-02 11:53:43,64.8378,-147.7164,-24.99,67,0,0.0
85,Oksfjord,NO,2022-02-02 11:57:58,70.2396,22.3479,18.52,86,76,11.21
86,Rio Gallegos,AR,2022-02-02 11:57:58,-51.6226,-69.2181,46.45,87,75,8.05
87,Rawatsar,IN,2022-02-02 11:57:58,29.2833,74.3833,71.44,23,17,6.49
88,Nishihara,JP,2022-02-02 11:57:59,26.1842,127.7558,65.48,94,75,5.75
89,Mahebourg,MU,2022-02-02 11:57:59,-20.4081,57.7,82.69,89,75,33.38
90,Eureka,US,2022-02-02 11:57:59,40.8021,-124.1637,44.26,74,1,1.01
91,Abu Kamal,SY,2022-02-02 11:59:00,34.4506,40.9171,61.79,31,1,9.84
92,Cherskiy,RU,2022-02-02 11:59:00,68.75,161.3,-1.64,58,75,2.82
93,Alice Springs,AU,2022-02-02 11:56:42,-23.7,133.8833,63.95,100,100,13.8
94,Aripuana,BR,2022-02-02 11:59:00,-9.1667,-60.6333,74.52,94,100,2.19
95,Verkhnyaya Inta,RU,2022-02-02 11:59:00,65.9811,60.3094,9.72,90,100,2.26
96,Pong,TH,2022-02-02 11:59:01,19.1493,100.2752,84.99,35,3,2.06
97,Yurimaguas,PE,2022-02-02 11:59:01,-5.9,-76.0833,73.36,75,38,0.87
98,Odessa,UA,2022-02-02 11:59:01,46.4775,30.7326,35.53,100,100,4.47
