City_ID,City,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Lat,Lng
221,Behbahan,67.32,34,100,9.69,overcast clouds,IR,30.5959,50.2417
222,Tarakan,81.9,83,20,4.61,few clouds,ID,3.3,117.6333
223,Sovetskiy,8.49,97,76,3.09,broken clouds,RU,61.3614,63.5842
224,Vila Franca Do Campo,63.19,66,83,10.04,broken clouds,PT,37.7167,-25.4333
225,Airai,61.93,93,100,1.83,overcast clouds,TL,-8.9266,125.4092
226,Oranjestad,78.75,78,40,20.76,scattered clouds,AW,12.524,-70.027
227,Maniitsoq,5.81,89,100,22.3,light snow,GL,65.4167,-52.9
228,Keffi,91.78,8,1,0.34,clear sky,NG,8.8486,7.8736
229,Keti Bandar,73.92,44,0,15.57,clear sky,PK,24.1447,67.4497
230,Asau,46.76,58,67,5.84,broken clouds,RO,46.4333,26.4
231,Padang,75.25,91,100,3.51,light rain,ID,-0.9492,100.3543
232,Butterworth,82.06,88,40,0.0,thunderstorm with light rain,MY,5.3991,100.3638
233,Iraan,19.96,62,7,3.0,clear sky,US,30.914,-101.8979
234,Necochea,71.04,76,60,1.9,broken clouds,AR,-38.5473,-58.7368
235,Hay River,-22.02,76,75,2.3,light snow,CA,60.8156,-115.7999
236,Sao Filipe,74.16,71,0,9.31,clear sky,CV,14.8961,-24.4956
237,Auriflama,72.64,95,100,3.78,overcast clouds,BR,-20.6856,-50.5547
238,Santa Maria,76.3,83,75,2.3,broken clouds,BR,-29.6842,-53.8069
239,Sinnamary,77.83,88,93,10.49,overcast clouds,GF,5.3833,-52.95
240,Adrar,76.08,10,7,14.27,clear sky,MR,20.5022,-10.0711
241,Mahebourg,81.25,89,75,17.27,broken clouds,MU,-20.4081,57.7
242,Oyotun,63.99,77,87,2.19,overcast clouds,PE,-6.8519,-79.3036
243,Payo,74.88,95,94,2.44,light rain,ID,-3.7508,103.6372
244,Narsaq,16.02,93,100,15.39,light snow,GL,60.9167,-46.05
245,Pauini,73.31,98,100,1.97,moderate rain,BR,-7.7136,-66.9764
246,Akhnur,56.3,79,83,4.79,broken clouds,IN,32.8667,74.7333
247,Torrington,45.14,97,100,1.01,light rain,US,41.8007,-73.1212
248,Casablanca,70.02,59,0,8.99,clear sky,MA,33.5928,-7.6192
249,Touros,83.3,58,73,15.82,broken clouds,BR,-5.1989,-35.4608
250,Half Moon Bay,51.91,85,75,0.0,broken clouds,US,37.4636,-122.4286
251,Najran,88.45,9,19,2.3,few clouds,SA,17.4924,44.1277
